country,year,Population,GDP
Australia,2015,23781169,1.33954E+12
Australia,2014,23464086,1.45468E+12
Australia,2013,23117353,1.56395E+12
Australia,2012,22728254,1.53748E+12
Australia,2011,22340024,1.38992E+12
Australia,2010,22031750,1.14225E+12
Australia,2009,21691700,9.26564E+11
Australia,2008,21249200,1.05456E+12
Australia,2007,20827600,8.53053E+11
Australia,2006,20697900,7.46881E+11
Australia,2005,20394800,6.93075E+11
Australia,2004,20127400,6.12695E+11
Australia,2003,19895400,4.66348E+11
Australia,2002,19651400,3.94196E+11
Australia,2001,19413000,3.78459E+11
Australia,2000,19153000,4.14952E+11
Australia,1999,18926000,3.88672E+11
Australia,1998,18711000,3.99294E+11
Australia,1997,18517000,4.35571E+11
Australia,1996,18311000,4.01335E+11
Australia,1995,18072000,3.67949E+11
Australia,1994,17855000,3.22805E+11
Australia,1993,17667000,3.11951E+11
Australia,1992,17495000,3.25253E+11
Australia,1991,17284000,3.25575E+11
Australia,1990,17065100,3.10955E+11
Australia,1989,16814400,2.9948E+11
Australia,1988,16532200,2.35771E+11
Australia,1987,16263900,1.89077E+11
Australia,1986,16018400,1.81989E+11
Australia,1985,15758000,1.80183E+11
Australia,1984,15544000,1.93198E+11
Australia,1983,15369000,1.76899E+11
Australia,1982,15178000,1.93651E+11
Australia,1981,14927000,1.76527E+11
Australia,1980,14692000,1.49655E+11
Australia,1979,14514000,1.34585E+11
Australia,1978,14358000,1.18218E+11
Australia,1977,14192000,1.10097E+11
Australia,1976,14033000,1.04815E+11
Australia,1975,13893000,97081797078
Australia,1974,13723000,88775239499
Australia,1973,13380000,63688661115
Australia,1972,13177000,51928738318
Australia,1971,12937000,45119274275
Australia,1970,12507000,41245380222
Australia,1969,12263000,36606562885
Australia,1968,12009000,32641953186
Australia,1967,11799000,30378541830
Australia,1966,11651000,27250531974
Australia,1965,11388000,25925635569
Australia,1964,11167000,23754059805
Australia,1963,10950000,21497368126
Australia,1962,10742000,19883525591
Australia,1961,10483000,19639377310
Australia,1960,10276477,18567588756
India,2015,1311050527,2.07354E+12
India,2014,1295291543,2.04244E+12
India,2013,1279498874,1.86321E+12
India,2012,1263589639,1.82496E+12
India,2011,1247446011,1.81587E+12
India,2010,1230984504,1.70846E+12
India,2009,1214182182,1.36537E+12
India,2008,1197070109,1.2241E+12
India,2007,1179685631,1.2387E+12
India,2006,1162088305,9.49117E+11
India,2005,1144326293,8.34215E+11
India,2004,1126419321,7.21585E+11
India,2003,1108369577,6.18356E+11
India,2002,1090189358,5.23968E+11
India,2001,1071888190,4.93954E+11
India,2000,1053481072,4.76609E+11
India,1999,1034976626,4.66867E+11
India,1998,1016402907,4.28741E+11
India,1997,997817250,4.23161E+11
India,1996,979290432,3.99787E+11
India,1995,960874982,3.666E+11
India,1994,942604211,3.33015E+11
India,1993,924475633,2.84194E+11
India,1992,906461358,2.93263E+11
India,1991,888513869,2.74842E+11
India,1990,870601776,3.26608E+11
India,1989,852736160,3.01234E+11
India,1988,834944397,3.01791E+11
India,1987,817232241,2.83927E+11
India,1986,799607235,2.53352E+11
India,1985,782085127,2.36589E+11
India,1984,764664278,2.15878E+11
India,1983,747374856,2.2209E+11
India,1982,730303461,2.04234E+11
India,1981,713561406,1.96883E+11
India,1980,697229745,1.89594E+11
India,1979,681358553,1.55674E+11
India,1978,665936435,1.39709E+11
India,1977,650907559,1.23618E+11
India,1976,636182810,1.04518E+11
India,1975,621703641,1.002E+11
India,1974,607446519,1.01271E+11
India,1973,593451889,87014945186
India,1972,579800632,72716595884
India,1971,566605402,68532271313
India,1970,553943226,63517182000
India,1969,541844848,59472993627
India,1968,530274729,54016411987
India,1967,519162069,51014155360
India,1966,508402908,46669801600
India,1965,497920270,60599264112
India,1964,487690114,57470781033
India,1963,477729958,49271095508
India,1962,468054145,42900864970
India,1961,458691457,39920452403
India,1960,449661874,37679274491
United States,2015,321418820,1.7947E+13
United States,2014,318907401,1.73481E+13
United States,2013,316427395,1.66632E+13
United States,2012,314102623,1.61553E+13
United States,2011,311718857,1.55179E+13
United States,2010,309346863,1.49644E+13
United States,2009,306771529,1.44187E+13
United States,2008,304093966,1.47186E+13
United States,2007,301231207,1.44776E+13
United States,2006,298379912,1.38559E+13
United States,2005,295516599,1.30937E+13
United States,2004,292805298,1.22749E+13
United States,2003,290107933,1.15107E+13
United States,2002,287625193,1.09775E+13
United States,2001,284968955,1.06218E+13
United States,2000,282162411,1.02848E+13
United States,1999,279040000,9.66062E+12
United States,1998,275854000,9.08917E+12
United States,1997,272657000,8.60852E+12
United States,1996,269394000,8.1002E+12
United States,1995,266278000,7.66406E+12
United States,1994,263126000,7.30876E+12
United States,1993,259919000,6.87872E+12
United States,1992,256514000,6.5393E+12
United States,1991,252981000,6.17404E+12
United States,1990,249623000,5.97959E+12
United States,1989,246819000,5.65769E+12
United States,1988,244499000,5.25263E+12
United States,1987,242289000,4.87022E+12
United States,1986,240133000,4.59016E+12
United States,1985,237924000,4.34673E+12
United States,1984,235825000,4.04069E+12
United States,1983,233792000,3.63814E+12
United States,1982,231664000,3.34499E+12
United States,1981,229466000,3.21096E+12
United States,1980,227225000,2.86251E+12
United States,1979,225055000,2.63214E+12
United States,1978,222585000,2.35657E+12
United States,1977,220239000,2.08595E+12
United States,1976,218035000,1.87759E+12
United States,1975,215973000,1.68892E+12
United States,1974,213854000,1.54883E+12
United States,1973,211909000,1.42855E+12
United States,1972,209896000,1.28245E+12
United States,1971,207661000,1.16777E+12
United States,1970,205052000,1.07588E+12
United States,1969,202677000,1.0199E+12
United States,1968,200706000,9.425E+11
United States,1967,198712000,8.617E+11
United States,1966,196560000,8.15E+11
United States,1965,194303000,7.437E+11
United States,1964,191889000,6.858E+11
United States,1963,189242000,6.386E+11
United States,1962,186538000,6.051E+11
United States,1961,183691000,5.633E+11
United States,1960,180671000,5.433E+11
